Sales_id,order_id,Product_id,Quantity,Amount
1,2,2,324,12312
2,2,2,328,31551
3,3,3,233,27786
4,4,4,243,33122
5,5,5,306,45750
6,6,6,389,51146
7,7,7,182,21011
8,8,8,589,27799
9,9,9,372,38509
10,10,10,379,27862
11,11,11,442,30097
12,12,12,556,36060
13,13,13,462,16128
14,14,14,321,13814
15,15,15,484,Null
16,null,16,585,Null
17,null,17,572,Null
18,null,18,248,Null
19,null,19,554,Null
20,null,20,231,Null
21,null,21,469,Null
22,null,22,271,Null
23,23,23,378,Null
24,24,24,433,Null
25,25,25,465,Null
26,26,26,303,Null
27,27,27,585,Null
28,28,28,402,Null
29,29,29,175,Null
30,30,30,147,Null
31,31,31,435,Null
32,32,32,472,51405
33,33,33,375,36206
34,34,34,473,25097
35,35,35,464,27059
36,36,36,289,14425
37,37,37,210,55006
38,38,38,280,30662
39,39,39,239,26475
40,40,40,319,12455
41,41,41,102,40533
42,42,42,344,19853
43,43,43,397,41654
44,44,44,325,14865
45,45,45,427,52894
46,46,46,554,31248
47,47,47,504,18113
48,48,48,536,41493
49,49,49,593,20524
50,50,50,110,15177
51,51,51,358,11131
52,52,52,527,29359
53,53,53,342,30525
54,54,54,568,25591
55,55,55,439,37291
56,56,56,131,51851
57,57,57,333,44616
58,58,58,214,40139
59,59,59,215,14323
60,60,60,422,25312
61,61,61,515,13639
62,62,62,268,50866
63,63,63,549,48132
64,64,64,113,37880
65,65,65,313,49677
66,66,66,313,30821
67,67,67,508,29791
68,68,68,248,53974
69,69,69,181,45632
70,70,70,514,23993
71,71,71,371,12084
72,72,72,291,39941
73,73,73,531,18335
74,74,74,541,12170
75,75,75,186,31453
76,76,76,163,47021
77,77,77,237,50109
78,78,78,441,52587
79,79,79,552,38759
80,80,80,593,47530
81,81,81,508,13669
82,82,82,117,14285
83,83,83,441,29220
84,84,84,545,45016
85,85,85,166,46588
86,86,86,110,32202
87,87,87,452,48360
88,88,88,503,23891
89,89,89,106,25099
90,90,90,103,10625
91,91,91,475,48283
92,92,92,194,53249
93,93,93,385,30147
94,94,94,116,11085
95,95,95,597,48332
96,96,96,299,42532
97,97,97,349,21652
98,98,98,169,29314
99,99,99,566,54709
100,100,100,553,54255
101,101,101,213,39546
102,102,102,172,22819
103,103,103,276,29012
104,104,104,491,51864
105,105,105,394,15366
106,106,106,163,22157
107,107,107,330,46992
108,108,108,112,40814
109,109,109,354,50323
110,110,110,414,16975
111,111,111,255,45356
112,112,112,132,11682
113,113,113,266,25304
114,114,114,177,42603
115,115,115,480,53853
116,116,116,188,20238
117,117,117,446,14749
118,118,118,300,29511
119,119,119,116,16549
120,120,120,294,25621
121,121,121,481,45862
122,122,122,587,48404
123,123,123,110,52762
124,124,124,386,15894
125,125,125,512,17348
126,126,126,500,37776
127,127,127,358,29098
128,128,128,464,29722
129,129,129,473,52297
130,130,130,463,34799
131,131,131,386,16304
132,132,132,316,30221
133,133,133,590,13700
134,134,134,409,38849
135,135,135,555,31840
136,136,136,104,22031
137,137,137,359,48339
138,138,138,136,53407
139,139,139,103,48749
140,140,140,147,16117
141,141,141,278,27484
142,142,142,400,17450
143,143,143,301,50991
144,144,144,503,15448
145,145,145,477,14222
146,146,146,249,29986
